aclass_id,bus,smm,prikljucna_moc_odjem,prikljucna_moc_oddaja,x_y,lon_lat
PMO,41280,633.0,24.0,0.0,"(520347.3200000003, 152366.6099999994)","(21.35617168523403, 49.239231578727434)"
PMO,41277,510.0,17.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,512.0,6.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,522.0,6.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,11128.0,14.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,84126.0,14.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,95457.0,6.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,120096.0,14.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41277,11129.0,6.0,0.0,"(520353.78780000005, 152292.53869999945)","(21.356263338914427, 49.23856565386823)"
PMO,41282,526.0,4.0,0.0,"(520346.97759999987, 152293.32890000008)","(21.35617495709586, 49.23857226583757)"
PMO,41282,562.0,6.0,0.0,"(520346.97759999987, 152293.32890000008)","(21.35617495709586, 49.23857226583757)"
PMO,41283,464.0,17.0,0.0,"(520346.8284999998, 152319.41929999925)","(21.356170278452915, 49.23880698239584)"
PMO,41283,615.0,53.0,0.0,"(520346.8284999998, 152319.41929999925)","(21.356170278452915, 49.23880698239584)"
PMO,41283,89298.0,17.0,0.0,"(520346.8284999998, 152319.41929999925)","(21.356170278452915, 49.23880698239584)"
PMO,41796,500.0,14.0,0.0,"(520334.29059999995, 152392.30069999956)","(21.356000044378305, 49.23946175865925)"
PMO,41796,490.0,8.0,0.0,"(520334.29059999995, 152392.30069999956)","(21.356000044378305, 49.23946175865925)"
